Year-Month,zip,Median Sales
2003-1,10001,700000.0
2003-1,10002,274000.0
2003-1,10003,400000.0
2003-1,10005,418250.0
2003-1,10007,1037500.0
2003-1,10009,387500.0
2003-1,10011,495000.0
2003-1,10012,375250.0
2003-1,10013,1300000.0
2003-1,10014,639000.0
2003-1,10016,330000.0
2003-1,10017,342500.0
2003-1,10018,420000.0
2003-1,10019,450000.0
2003-1,10021,497580.0
2003-1,10022,525000.0
2003-1,10023,482000.0
2003-1,10024,807665.5
2003-1,10025,399699.0
2003-1,10026,230000.0
2003-1,10027,625000.0
2003-1,10028,424250.0
2003-1,10029,540000.0
2003-1,10030,171500.0
2003-1,10031,467500.0
2003-1,10032,223500.0
2003-1,10034,253750.0
2003-1,10044,352000.0
2003-1,10065,445000.0
2003-1,10069,535000.0
2003-1,10103,485000.0
2003-1,10110,606000.0
2003-1,10111,450000.0
2003-1,10119,429000.0
2003-1,10152,211000.0
2003-1,10153,1450000.0
2003-1,10154,431875.0
2003-1,10162,521500.0
2003-1,10167,470000.0
2003-1,10199,344138.0
2003-1,10271,180000.0
2003-1,10278,943851.5
2003-1,10280,330000.0
2003-1,10468,205571.0
2003-1,11201,275000.0
2003-1,11204,259000.0
2003-1,11205,225000.0
2003-1,11206,350000.0
2003-1,11207,287500.0
2003-1,11209,162500.0
2003-1,11210,104467.0
2003-1,11211,302500.0
2003-1,11213,255500.0
2003-1,11214,226820.0
2003-1,11215,308750.0
2003-1,11216,165000.0
2003-1,11217,376236.0
2003-1,11218,267000.0
2003-1,11219,312500.0
2003-1,11220,278850.0
2003-1,11222,187500.0
2003-1,11223,130910.0
2003-1,11224,161733.0
2003-1,11226,372000.0
2003-1,11228,268710.0
2003-1,11229,130000.0
2003-1,11230,160800.0
2003-1,11231,324480.0
2003-1,11233,299199.0
2003-1,11235,300000.0
2003-1,11236,210000.0
2003-1,11238,211619.5
2003-10,10001,412500.0
2003-10,10002,350000.0
2003-10,10003,427550.0
2003-10,10005,180000.0
2003-10,10006,900000.0
2003-10,10007,800000.0
2003-10,10009,380000.0
2003-10,10011,499000.0
2003-10,10012,670000.0
2003-10,10013,1477500.0
2003-10,10014,429250.0
2003-10,10016,325000.0
2003-10,10017,377500.0
2003-10,10018,299130.0
2003-10,10019,520000.0
2003-10,10020,364000.0
2003-10,10021,540000.0
2003-10,10022,460000.0
2003-10,10023,508000.0
2003-10,10024,640000.0
2003-10,10025,422500.0
2003-10,10026,290000.0
2003-10,10027,220330.0
2003-10,10028,435000.0
2003-10,10029,900000.0
2003-10,10030,242205.0
2003-10,10031,375000.0
2003-10,10032,262250.0
2003-10,10034,292384.0
2003-10,10037,318903.0
2003-10,10038,339690.0
2003-10,10039,173963.0
2003-10,10044,425000.0
2003-10,10065,564500.0
2003-10,10069,592000.0
2003-10,10103,520000.0
2003-10,10110,303500.0
2003-10,10111,935000.0
2003-10,10115,275000.0
2003-10,10119,862500.0
2003-10,10153,555000.0
2003-10,10154,444500.0
2003-10,10162,570000.0
2003-10,10171,402750.0
2003-10,10199,230000.0
2003-10,10271,455000.0
2003-10,10278,1312500.0
2003-10,10280,495000.0
2003-10,10468,164000.0
2003-10,11201,345462.5
2003-10,11204,153556.0
2003-10,11205,253500.0
2003-10,11206,180000.0
2003-10,11209,186500.0
2003-10,11210,146788.0
2003-10,11211,324829.5
2003-10,11214,155000.0
2003-10,11215,354000.0
2003-10,11217,299500.0
2003-10,11218,213621.0
2003-10,11219,302000.0
2003-10,11220,160957.0
2003-10,11222,182520.0
2003-10,11223,134969.0
2003-10,11224,221470.0
2003-10,11225,107000.0
2003-10,11226,215000.0
2003-10,11228,319410.0
2003-10,11229,140000.0
2003-10,11230,170000.0
2003-10,11231,537500.0
2003-10,11235,215000.0
2003-10,11236,218150.0
2003-10,11238,255000.0
2003-11,10001,507500.0
2003-11,10002,280000.0
2003-11,10003,549000.0
2003-11,10007,960000.0
2003-11,10009,427500.0
2003-11,10011,555000.0
2003-11,10012,585000.0
2003-11,10013,1527375.0
2003-11,10014,612500.0
2003-11,10016,397868.5
2003-11,10017,350000.0
2003-11,10018,361672.0
2003-11,10019,638500.0
2003-11,10020,350000.0
2003-11,10021,657500.0
2003-11,10022,540000.0
2003-11,10023,545000.0
2003-11,10024,710000.0
2003-11,10025,455000.0
2003-11,10026,251600.0
2003-11,10027,171200.0
2003-11,10028,407532.5
2003-11,10029,680000.0
2003-11,10030,149058.0
2003-11,10032,163750.0
2003-11,10034,279000.0
2003-11,10038,372000.0
2003-11,10039,135000.0
2003-11,10044,401000.0
2003-11,10065,430000.0
2003-11,10069,540000.0
2003-11,10103,590000.0
2003-11,10110,385000.0
2003-11,10111,1445000.0
2003-11,10115,179000.0
2003-11,10119,536500.0
2003-11,10152,462000.0
2003-11,10153,798180.0
2003-11,10154,550000.0
2003-11,10162,430000.0
2003-11,10167,307700.0
2003-11,10171,414500.0
2003-11,10199,289409.5
2003-11,10278,1750000.0
2003-11,10280,439000.0
2003-11,10468,178750.0
2003-11,11201,385783.0
2003-11,11204,242500.0
2003-11,11205,238290.0
2003-11,11206,400000.0
2003-11,11207,285500.0
2003-11,11209,195000.0
2003-11,11210,157500.0
2003-11,11211,282500.0
2003-11,11214,142250.0
2003-11,11215,352000.0
2003-11,11217,313500.0
2003-11,11218,210000.0
2003-11,11219,300000.0
2003-11,11220,126000.0
2003-11,11223,168000.0
2003-11,11224,237500.0
2003-11,11226,242820.0
2003-11,11229,147500.0
2003-11,11230,121500.0
2003-11,11231,518000.0
2003-11,11233,252553.0
2003-11,11235,277000.0
2003-11,11236,235000.0
2003-11,11238,257820.0
2003-12,10001,408500.0
2003-12,10002,332500.0
2003-12,10003,655000.0
2003-12,10007,1170777.0
2003-12,10009,430000.0
2003-12,10011,442500.0
2003-12,10012,925000.0
2003-12,10013,1286406.5
2003-12,10014,550437.0
2003-12,10016,340000.0
2003-12,10017,410000.0
2003-12,10018,385125.0
2003-12,10019,910000.0
2003-12,10020,365000.0
2003-12,10021,527500.0
2003-12,10022,490000.0
2003-12,10023,560038.0
2003-12,10025,525000.0
2003-12,10026,575311.0
2003-12,10027,208000.0
2003-12,10028,415740.0
2003-12,10029,560000.0
2003-12,10030,162899.5
2003-12,10031,275000.0
2003-12,10032,219000.0
2003-12,10034,262500.0
2003-12,10037,263133.0
2003-12,10038,405600.0
2003-12,10039,380000.0
2003-12,10044,446654.0
2003-12,10065,542000.0
2003-12,10069,475000.0
2003-12,10103,565000.0
2003-12,10110,332500.0
2003-12,10111,1210000.0
2003-12,10119,350000.0
2003-12,10152,468196.5
2003-12,10153,916425.0
2003-12,10154,345000.0
2003-12,10162,515000.0
2003-12,10167,393500.0
2003-12,10171,328500.0
2003-12,10199,294257.0
2003-12,10271,546375.0
2003-12,10278,1135000.0
2003-12,10280,682228.0
2003-12,10468,198000.0
2003-12,11201,415000.0
2003-12,11204,263000.0
2003-12,11205,250000.0
2003-12,11206,375180.0
2003-12,11209,180000.0
2003-12,11210,125000.0
2003-12,11211,354799.0
2003-12,11213,352000.0
2003-12,11214,171000.0
2003-12,11215,338500.0
2003-12,11217,240225.0
2003-12,11218,215000.0
2003-12,11219,350000.0
2003-12,11220,152500.0
2003-12,11223,152000.0
2003-12,11224,272766.0
2003-12,11226,140000.0
2003-12,11229,148250.0
2003-12,11230,115000.0
2003-12,11231,525000.0
2003-12,11235,404000.0
2003-12,11236,226000.0
2003-12,11238,345000.0
2003-2,10001,605000.0
2003-2,10002,340000.0
2003-2,10003,431250.0
2003-2,10007,725000.0
2003-2,10009,293750.0
2003-2,10011,396000.0
2003-2,10012,479000.0
2003-2,10013,1275000.0
2003-2,10014,470000.0
2003-2,10016,337500.0
2003-2,10017,405000.0
2003-2,10018,337500.0
2003-2,10019,525000.0
2003-2,10020,382500.0
2003-2,10021,565000.0
2003-2,10022,401000.0
2003-2,10023,532500.0
2003-2,10025,455000.0
2003-2,10026,211808.0
2003-2,10027,243822.0
2003-2,10028,302021.0
2003-2,10029,367500.0
2003-2,10030,205000.0
2003-2,10031,372500.0
2003-2,10032,210000.0
2003-2,10034,261500.0
2003-2,10037,204184.0
2003-2,10038,388000.0
2003-2,10044,420000.0
2003-2,10065,522750.0
2003-2,10069,514827.0
2003-2,10103,500750.0
2003-2,10110,392396.0
2003-2,10111,1800000.0
2003-2,10152,300000.0
2003-2,10153,450000.0
2003-2,10154,383500.0
2003-2,10162,625000.0
2003-2,10171,327000.0
2003-2,10199,348816.0
2003-2,10271,563750.0
2003-2,10278,1360000.0
2003-2,10280,327500.0
2003-2,10468,220000.0
2003-2,11201,365750.0
2003-2,11204,143247.5
2003-2,11205,278850.0
2003-2,11206,290000.0
2003-2,11209,170000.0
2003-2,11210,110591.5
2003-2,11211,302275.0
2003-2,11212,270000.0
2003-2,11213,229000.0
2003-2,11214,208000.0
2003-2,11215,306500.0
2003-2,11216,165000.0
2003-2,11217,462717.5
2003-2,11218,276315.0
2003-2,11219,399009.0
2003-2,11220,205192.5
2003-2,11223,184145.0
2003-2,11226,140000.0
2003-2,11228,350000.0
2003-2,11229,130000.0
2003-2,11230,153000.0
2003-2,11231,300000.0
2003-2,11235,205689.0
